device_id;timestamp;pressure_value;temp_value;humidity_value
BME680;2025-12-18-04-00-40;0.97072;24.0091;39.2206
BME680;2025-12-18-04-10-43;0.97077;23.7981;40.1715
BME680;2025-12-18-04-20-46;0.97084;23.6236;39.9554
BME680;2025-12-18-04-30-49;0.97091;23.4775;40.0166
BME680;2025-12-18-04-40-52;0.97097;23.3119;40.6471
BME680;2025-12-18-04-50-55;0.97097;23.1407;40.9392
BME680;2025-12-18-05-00-58;0.97101;23.0019;40.6324
BME680;2025-12-18-05-11-01;0.97103;22.878;41.0062
BME680;2025-12-18-05-21-05;0.97107;22.7484;41.6088
BME680;2025-12-18-05-31-08;0.97111;22.6252;41.6017
BME680;2025-12-18-05-41-11;0.97117;22.5157;41.5374
BME680;2025-12-18-05-51-14;0.97121;22.3846;41.6283
BME680;2025-12-18-06-01-17;0.97123;22.2454;43.0251
BME680;2025-12-18-06-11-20;0.97123;22.1401;41.6852
BME680;2025-12-18-06-21-23;0.97123;22.0334;42.4694
BME680;2025-12-18-06-31-27;0.97127;21.908;44.2324
BME680;2025-12-18-06-41-30;0.97136;21.7915;42.2597
BME680;2025-12-18-06-51-33;0.97139;21.6699;42.9376
BME680;2025-12-18-07-01-36;0.97138;21.5804;42.9531
BME680;2025-12-18-07-11-39;0.97144;21.4878;43.1319
BME680;2025-12-18-07-21-42;0.97161;21.3948;43.2821
BME680;2025-12-18-07-31-45;0.97178;21.2875;43.7988
BME680;2025-12-18-07-41-49;0.97184;21.2051;44.6502
BME680;2025-12-18-07-51-52;0.97187;21.121;44.6401
BME680;2025-12-18-08-01-55;0.97192;21.0325;45.8852
BME680;2025-12-18-08-11-58;0.97195;20.9619;44.4729
BME680;2025-12-18-08-22-01;0.97196;20.8829;44.8647
BME680;2025-12-18-08-32-05;0.97204;20.8081;45.048
BME680;2025-12-18-08-42-08;0.9721;20.7416;44.9928
BME680;2025-12-18-08-52-11;0.97215;20.6782;44.7342
BME680;2025-12-18-09-02-14;0.97216;20.6295;47.4369
BME680;2025-12-18-09-12-17;0.97213;20.5773;45.3283
BME680;2025-12-18-09-22-20;0.97211;20.5162;45.7298
BME680;2025-12-18-09-32-23;0.97201;20.4582;47.3188
BME680;2025-12-18-09-42-29;0.97182;20.3856;46.2986
BME680;2025-12-18-09-52-32;0.97169;20.3303;47.2737
BME680;2025-12-18-10-02-35;0.9716;20.2812;47.2919
BME680;2025-12-18-10-12-38;0.97158;20.2347;45.8904
BME680;2025-12-18-10-22-42;0.97159;20.18;46.0582
BME680;2025-12-18-10-32-45;0.9716;20.1392;47.3488
BME680;2025-12-18-10-42-48;0.97158;20.1026;49.083
BME680;2025-12-18-10-52-51;0.97153;20.0648;48.4176
BME680;2025-12-18-11-02-54;0.97147;20.016;46.4982
BME680;2025-12-18-11-12-58;0.9714;19.9766;48.035
BME680;2025-12-18-11-23-01;0.97134;19.9416;50.4359
BME680;2025-12-18-11-33-07;0.97129;19.9005;49.8756
BME680;2025-12-18-11-43-10;0.97125;19.861;48.1248
